,Date,BCHUSD,BTCUSD,DASHUSD,ETCUSD,ETHUSD,GASUSD_e,GNOUSD_e,LSKUSD_b,LTCUSD,NXTUSD_b,OMGUSD_e,POTUSD_b,REPUSD_e,XEMUSD_b,XMRUSD,XRPUSD_b,ZECUSD_e,ZRXUSD_e
111,2017-07-06 02,,2591,218.2,16.93,261.7,,340.21,2.451086,51.15,0.13760801,,0.10107491,26.71957,0.1704878,48.2,0.24798461,274.785,
112,2017-07-06 03,,2600.09,223.4,17.14,264.16,,343.408,2.49088622,52,0.138194784,,0.101923528,26.732992,0.171059921,48.29,0.250024654,277.368,
113,2017-07-06 04,,2579.5,216,17.13,262.45,,341.185,2.47632,51.01,0.1367135,,0.09894962,26.92737,0.168157605,47.23,0.24830267,275.5725,
114,2017-07-06 05,,2572.66,216.5,16.95,262,,340.6,2.470010866,50.61,0.135707815,,0.097375181,26.8812,0.167094267,47.8,0.24697536,275.1,
115,2017-07-06 06,,2583.53,212.9,17.53,265.5,,334.53,2.546843874,50.79,0.13604869,,0.098975034,26.94825,0.165526767,48.1,0.248793939,276.12,
116,2017-07-06 07,,2585.71,212,17.42,268.74,,335.925,2.66845272,50.48,0.136628916,,0.099317121,27.062118,0.165071726,47.98,0.247788589,282.177,
117,2017-07-06 08,,2588.77,207.55,17.57,272.5,,343.35,2.66384433,50.23,0.136894158,,0.098632137,27.686,0.165292964,48,0.249350326,286.125,
118,2017-07-06 09,,2567.67,205.11,17.37,268.31,,340.7537,2.58821136,49.91,0.136651397,,0.096955219,27.045648,0.165794452,48.58,0.249397787,287.0917,
119,2017-07-06 10,,2569.86,204.9,17.43,270.39,,337.9875,2.58527916,49.62,0.135508718,,0.097037914,27.525702,0.168454323,48.5,0.246475273,289.3173,
120,2017-07-06 11,,2565.26,204,17.42,269,,341.63,2.58578208,49.73,0.135779212,,0.096325513,27.1421,0.170333264,47.98,0.248548041,287.83,
121,2017-07-06 12,,2572.94,204,17.3,264.6,,338.688,2.5986694,50.25,0.134024445,,0.095584721,27.01566,0.171357804,47.53,0.246436193,285.768,
122,2017-07-06 13,,2571.23,208.04,17.25,263.7,,334.899,2.561973572,51.4,0.132546907,,0.096832522,27.1611,0.16903266,47.53,0.247609449,284.796,
123,2017-07-06 14,,2573.1,211,17.2,264.86,,336.3722,2.56383684,50.31,0.129658509,,0.097083063,27.227608,0.166891266,47.2,0.246940407,280.7516,
124,2017-07-06 15,,2573,210.93,17.3,265,,336.55,2.5176805,50.41,0.1291646,,0.09738805,27.189,0.1680169,47.67,0.2482945,278.25,
125,2017-07-06 16,,2583.42,216,17.42,264.2,,335.534,2.5317516,50.45,0.13046271,,0.097756613,27.18618,0.169265678,48.37,0.248783346,282.694,
126,2017-07-06 17,,2588.66,215.39,17.2,264,,332.64,2.50452855,50.85,0.129665979,,0.099300998,27.5088,0.169298364,48.84,0.249287958,282.48,
127,2017-07-06 18,,2577.26,209.72,17.21,262.16,,332.9432,2.500457652,50.75,0.12945577,,0.096466842,27.290856,0.168372396,48.61,0.248215911,283.1328,
128,2017-07-06 19,,2577.45,210,17.05,260.81,,331.2287,2.554510695,50.31,0.129748833,,0.09536565,27.228564,0.167173407,49,0.248491954,281.6748,
129,2017-07-06 20,,2584.07,213.85,17.22,262.5,,330.75,2.500087725,50.53,0.129720314,,0.095274661,27.3,0.16760278,49.45,0.248380808,283.5,
130,2017-07-06 21,,2584.22,210,17.27,261.44,,332.0288,2.505142868,51.41,0.130787374,,0.096132984,27.346624,0.168310249,49.77,0.248421069,282.3552,
131,2017-07-06 22,,2595.5,208.61,17.38,264.85,,331.0625,2.49661145,51.13,0.129074215,,0.096786195,27.359005,0.171640415,49.47,0.24937564,283.3895,
132,2017-07-06 23,,2589.95,208.4,17.4,264.87,,331.0875,2.49101391,50.72,0.128927711,,0.096553336,27.361071,0.168657544,50,0.24915319,286.0596,
133,2017-07-07 00,,2598.06,210.6,17.59,264.58,,333.3708,2.488421868,50.56,0.127382882,,0.095998317,28.019022,0.171419999,49.86,0.251102499,288.3922,
134,2017-07-07 01,,2580,206.36,17.45,263.81,,329.7625,2.449452,50.22,0.1241238,,0.0941442,28.333194,0.1679322,50.47,0.2492538,287.5529,
135,2017-07-07 02,,2565,200.3,17.45,261.9,,324.756,2.414178,49.24,0.12258135,,0.09400725,27.83997,0.1667763,49.66,0.24775335,285.471,
136,2017-07-07 03,,2562.74,200.5,17.3,262,,322.26,2.433065356,49,0.120935701,,0.095846476,27.903,0.167910725,49.71,0.246945626,280.34,
