Jul.Day,YYYY/MM/DD,Wdy,CZK/USD,DKK/USD,NLG/USD,XCD/USD,EGP/USD,EEK/USD,EUR/USD,FJD/USD,FIM/USD,FRF/USD,XAF/USD,XPF/USD,DEM/USD,GHS/USD,XAU/USD,GRD/USD,HNL/USD,HKD/USD,HUF/USD,ISK/USD
2451334,6/4/1999,Fri,36.377,7.1938,2.1333,,3.3952,,0.96805,1.988,5.7558,6.35,635.13,115.45,1.8934,0.24495,0.0037842,314.44,14.214,7.7598,240.58,74.908
2451337,6/7/1999,Mon,36.404,7.2135,2.1399,,3.3988,,0.97106,1.9814,5.7737,6.3697,637.11,115.8,1.8992,0.245091,0.0037791,314.88,14.232,7.7567,241.11,74.848
2451338,6/8/1999,Tue,35.958,7.1177,2.1104,,3.3404,,0.95765,1.9731,5.6939,6.2818,628.12,114.2,1.873,0.260603,0.0038072,310.54,14.16,7.7562,239.41,74.345
2451339,6/9/1999,Wed,35.748,7.1086,2.1086,,3.394,,0.95684,1.9732,5.6891,6.2765,627.54,114.12,1.8714,0.245776,0.0038558,310.07,14.156,7.7566,238.29,74.166
2451340,6/10/1999,Thu,35.533,7.0918,2.103,,3.3914,,0.95432,1.9682,5.6741,6.2599,625.89,113.81,1.8665,0.245825,0.0038433,308.38,14.163,7.7588,237.61,73.859
2451341,6/11/1999,Fri,35.472,7.0687,2.095,,3.4202,,0.95066,1.9611,5.6524,6.2359,623.57,113.39,1.8593,0.246273,0.0038582,308.95,14.22,7.7598,237.89,73.87
2451344,6/14/1999,Mon,35.507,7.1279,2.1153,,3.3391,,0.95989,1.9542,5.7072,6.2965,629.77,114.49,1.8774,0.246172,0.003852,310.46,14.256,7.7567,239.2,74.252
2451345,6/15/1999,Tue,35.656,7.1265,2.1149,,3.3458,,0.9597,1.9589,5.7061,6.2952,629.62,114.5,1.877,0.261986,0.0038479,311.53,14.26,7.7569,239.99,74.529
2451346,6/16/1999,Wed,,7.2035,2.1389,,,,0.97059,1.9667,5.7709,6.3667,636.71,115.77,1.8983,0.246402,,313.77,14.259,7.759,,74.196
2451347,6/17/1999,Thu,35.999,7.1935,2.1335,,3.3554,,0.96813,1.9598,5.7562,6.3505,634.94,115.4,1.8935,0.252332,0.0038813,313.38,14.254,7.7589,241.55,74.125
2451348,6/18/1999,Fri,35.411,7.1669,2.1255,,3.3478,,0.96449,1.9709,5.7346,6.3267,632.76,115.02,1.8864,0.264774,0.0038694,310.94,14.257,7.7594,239.6,74.174
2451351,6/21/1999,Mon,35.843,7.2005,2.1346,,3.3617,,0.96862,1.9834,5.7592,6.3537,635.25,115.49,1.8945,0.265315,0.0038814,314.1,14.268,7.7582,241.72,74.557
2451352,6/22/1999,Tue,35.656,7.2094,2.135,,3.3381,,0.96883,1.9867,5.7604,6.3551,635.54,115.57,1.8949,0.253887,0.0038611,314.37,14.203,7.7573,240.99,74.393
2451353,6/23/1999,Wed,35.894,7.2044,2.1354,,3.3947,,0.96902,1.9813,5.7615,6.3564,635.59,115.55,1.8952,0.265459,0.0038765,314.54,14.221,7.7583,242.01,74.334
2451354,6/24/1999,Thu,35.841,7.1742,2.1248,,3.3412,,0.9642,1.9754,5.7329,6.3248,632.56,114.99,1.8858,0.265469,0.0038366,314.39,14.223,7.7569,241.48,74.24
2451355,6/25/1999,Fri,35.246,7.1167,2.1103,,3.3918,,0.95759,1.9712,5.6936,6.2814,628.25,114.22,1.8729,0.254469,0.0038232,310.2,14.22,7.7582,238.4,74.086
2451358,6/28/1999,Mon,35.326,7.1748,2.1246,,3.3953,,0.96411,1.9713,5.7323,6.3241,632.54,114.98,1.8856,0.254662,0.0038407,312.04,14.28,7.7582,240.73,74.175
2451359,6/29/1999,Tue,35.371,7.188,2.1315,,3.3947,,0.96723,1.9758,5.7509,6.3446,634.44,115.38,1.8917,0.255311,0.0038238,313.51,14.244,7.7587,239.96,74.23
2451360,6/30/1999,Wed,34.995,7.2086,2.1395,,3.3759,,0.97085,1.9801,5.7724,6.3683,636.95,115.81,1.8988,0.255112,0.0038154,314.87,14.236,7.7596,240.02,74.532
2451362,7/2/1999,Fri,,7.2572,2.1504,,,,0.97581,1.9626,5.8019,6.4009,640.08,116.41,1.9085,0.257834,,317.27,14.302,7.7569,,74.719
2451365,7/5/1999,Mon,35.486,7.2711,2.1554,,3.4034,,0.97807,1.9677,5.8153,6.4157,641.58,116.64,1.9129,0.255627,0.0038311,317.53,14.301,7.7594,243.81,74.862
2451366,7/6/1999,Tue,,7.2611,2.1495,,,,0.97542,1.9665,5.7996,6.3983,639.74,116.34,1.9078,0.265017,,318.27,14.296,7.7559,,74.908
