Date,BTC/USD,LTC/USD,ETH/USD,DASH/USD,ETC/USD,XMR/USD,XRP/USD,BCH/USD
2018-04-17 09-AM,8137.07,135.73,515.84,374.5,16.48,200.32,0.678468897,780.95
2018-04-17 08-AM,8129.19,134.49,514.47,369.99,16.36,197.7,0.673259516,782
2018-04-17 07-AM,8032.13,132.77,508.56,363.27,16.15,193.96,0.660000122,763.21
2018-04-17 06-AM,7980,129.4,505,359.21,16.2,193,0.6576318,762.39
2018-04-17 05-AM,8011.12,129.46,505.2,362.29,16.17,194.62,0.659315176,759.66
2018-04-17 04-AM,8031.06,130.5,507.94,359.25,16.15,194.15,0.661598723,765.01
2018-04-17 03-AM,8038.43,130.3,505.33,359.25,16.2,193.05,0.658186648,766.18
2018-04-17 02-AM,8035.96,130.34,508,361.35,16.13,193.05,0.658627282,768.94
2018-04-17 01-AM,8044.68,130.81,510.35,364.17,16.28,195,0.661996717,768.31
2018-04-17 12-AM,8060,128.7,511.78,363.2,16.14,194.41,0.662129,769
2018-04-16 11-PM,8001.95,127.56,506.33,360.38,15.93,192,0.654479491,760.27
2018-04-16 10-PM,8009,127.81,504.94,359.25,15.98,192.25,0.65890043,761.41
2018-04-16 09-PM,7977.93,127.12,503.3,360.38,15.95,192.25,0.656583639,758.69
2018-04-16 08-PM,7973.5,127.01,503.53,360.38,15.96,192,0.653109385,754.83
2018-04-16 07-PM,8014.8,127.93,506.16,360.38,15.96,191.2,0.660098928,762.07
2018-04-16 06-PM,8042.21,128.14,509.52,362.73,16,192,0.662034727,760.05
2018-04-16 05-PM,7946,125.9,501.58,357.21,15.81,189.84,0.64227518,750
2018-04-16 04-PM,7984.61,126.38,502.25,356,15.85,190.07,0.647551871,749.31
2018-04-16 03-PM,7966.76,127.32,501.61,357.2,15.84,190.01,0.650007948,749.02
2018-04-16 02-PM,7950,125.5,501.5,358,15.56,189.2,0.64395,751.57
2018-04-16 01-PM,7933.96,125.8,501.03,355,15.82,192.06,0.642095383,741
2018-04-16 12-PM,8083.01,127.9,512,365.49,15.95,194,0.659896936,770
2018-04-16 11-AM,8089.75,127.51,510.35,365.42,16.07,193.52,0.660042703,770
2018-04-16 10-AM,8097,127.9,512.88,365.95,16.06,193.55,0.66306333,764
2018-04-16 09-AM,8121,128.48,515.54,363.59,16.2,196,0.66600321,771.22
2018-04-16 08-AM,8105.02,127.96,514.97,367.42,16.11,195.49,0.663801138,763.16
2018-04-16 07-AM,8089.94,126.9,510.5,362.29,15.96,192.85,0.658925613,760
2018-04-16 06-AM,8041,126.75,507,360.55,16,192.34,0.65727134,757
2018-04-16 05-AM,8128.29,128.5,515,366.48,16.17,196.27,0.668876984,766.13
2018-04-16 04-AM,8135,129,516,368,16.25,197.08,0.66942915,767.09
2018-04-16 03-AM,8133,127.5,513.15,366.85,16.25,195.45,0.66682467,769.11
2018-04-16 02-AM,8330.55,132.05,526.62,382.88,16.75,200.77,0.685104432,804.51
2018-04-16 01-AM,8388.52,133,532.63,380.14,16.81,202.08,0.692640096,787.48
2018-04-16 12-AM,8356,132.83,533.72,383.51,16.83,200.78,0.693548,776.96
2018-04-15 11-PM,8349.44,132,529.22,381.2,16.76,200,0.692669542,779.93
2018-04-15 10-PM,8302.65,131.24,523.19,383,16.69,200,0.682062698,777.37
2018-04-15 09-PM,8293.69,130.47,524.47,380.5,16.67,200,0.685307605,774
2018-04-15 08-PM,8311.03,130.98,524.2,380.5,16.7,201,0.682834225,777.41
2018-04-15 07-PM,8333,131.24,526,377.15,16.79,200.15,0.68522259,780
2018-04-15 06-PM,8290,130.99,526.84,379.95,16.65,199.6,0.6791168,774.33
2018-04-15 05-PM,8264.1,130.22,521.96,378.5,16.55,198.78,0.677738841,770.92
2018-04-15 04-PM,8280,130.1,523.49,380,16.52,199.23,0.676062,768
2018-04-15 03-PM,8333.2,131.86,526.96,383.08,16.76,202.36,0.683405732,780
2018-04-15 02-PM,8359.38,132,527.02,383.57,16.9,204.4,0.687559005,782
2018-04-15 01-PM,8339.83,131.51,525.09,385,16.85,203.36,0.688536365,780.74
2018-04-15 12-PM,8321.38,131.51,523,377,16.8,202.71,0.681853877,776.74
2018-04-15 11-AM,8118.98,129.78,513.18,368.31,16.36,195.35,0.656013584,757.96
2018-04-15 10-AM,8105.03,129.58,513.6,365.39,16.41,194.5,0.658128436,759.91
2018-04-15 09-AM,8137.78,129.24,512.81,366.22,16.25,196.85,0.658916047,758.52
2018-04-15 08-AM,8071.71,128.21,508.88,367.56,16.22,192.33,0.653566359,748.99
2018-04-15 07-AM,8127.25,128.43,512.12,372.77,16.34,194,0.659770155,755.36
2018-04-15 06-AM,8129.76,128.44,515,371,16.32,194.52,0.657778882,757.17
2018-04-15 05-AM,8105,128.64,512,368.5,16.22,194.43,0.64912945,747.39
2018-04-15 04-AM,8083,127.82,511.44,364.09,16.25,193,0.64542755,749.36
2018-04-15 03-AM,8098.73,127.24,511.27,364.09,16.15,195,0.648870248,747.56
2018-04-15 02-AM,8115.1,128.17,518.73,365.43,16.23,193.18,0.654563966,743.64
2018-04-15 01-AM,8065,127.85,510,362.53,16.07,192.9,0.646813,744.07
2018-04-15 12-AM,7996,126.6,503,358.41,16.07,190,0.63920024,733.43
2018-04-14 11-PM,8047.25,127.31,508.91,361.5,16.19,191.77,0.644262835,749.29
2018-04-14 10-PM,8033.99,127.85,506.11,361.5,16.2,193,0.648182313,745
2018-04-14 09-PM,8078.95,128.1,508.05,360.2,16.26,192.99,0.65116337,744.01
2018-04-14 08-PM,8013.07,127,503.29,358.51,16.2,191.8,0.6410456,736.71
2018-04-14 07-PM,8029.29,126.75,500.42,354.88,16.14,191.71,0.641299392,736.19
2018-04-14 06-PM,7964.44,125.4,495.96,359.95,16,189.29,0.633332269,727.05
2018-04-14 05-PM,7993.19,126.44,497.5,360,15.85,189.23,0.637137175,736
2018-04-14 04-PM,7960.15,125.56,494.59,354.89,15.92,189.56,0.634264752,730.77
2018-04-14 03-PM,7962,125.88,490.71,357.56,15.91,189.85,0.63106812,729.31
2018-04-14 02-PM,7950.06,125.92,492.54,357.56,15.88,189.37,0.632983777,726.37
2018-04-14 01-PM,7885.4,124.83,487.23,356.38,15.66,190,0.62649503,717
2018-04-14 12-PM,7955,126.31,493.1,363.53,15.84,190.62,0.63711595,731
2018-04-14 11-AM,7958.92,125.87,492.01,360.18,15.8,189.56,0.639180865,734.05
2018-04-14 10-AM,8023.71,126.83,506,370.34,16.04,191.99,0.648797191,739.83
2018-04-14 09-AM,8119.68,129,508.73,372.46,16.21,197.34,0.659886394,757.92
2018-04-14 08-AM,8130.87,129,512.01,369.26,16.35,196.3,0.666568723,756.6
2018-04-14 07-AM,8023,127.6,503.6,361.05,16.09,193.5,0.64817817,746.12
2018-04-14 06-AM,7955.03,125.86,499.22,361.05,15.83,192.79,0.641095868,745.9
2018-04-14 05-AM,7954.7,125.95,498.9,361.05,15.8,192.03,0.640432897,741.51
2018-04-14 04-AM,8056.64,127.76,508,363.8,16.14,194.99,0.655810496,746.12
2018-04-14 03-AM,8046.91,127.78,511,364.7,16.13,194.23,0.654777067,748.73
2018-04-14 02-AM,8060.17,128.03,506.29,365.74,16.15,193.18,0.660047321,752.37
2018-04-14 01-AM,7917.76,126.21,493.48,351.18,15.81,189.55,0.642526224,745.43
2018-04-14 12-AM,7875,125.76,494.17,355.62,15.68,189.7,0.64015875,743
2018-04-13 11-PM,7910.78,126,495.5,351.97,15.82,188.63,0.647892882,737.59
2018-04-13 10-PM,7874,126.49,490,357.91,15.8,189.26,0.6397625,737
2018-04-13 09-PM,7904,126.21,493,361.3,15.8,189.87,0.65152672,742.33
2018-04-13 08-PM,8101.26,131.26,512,374.62,16.53,195.5,0.690713428,761.59
2018-04-13 07-PM,8103.2,131.59,514.98,370,16.6,197.4,0.698252744,763.81
2018-04-13 06-PM,8112.12,132.09,515.78,372.8,16.56,197.18,0.691882715,761.59
2018-04-13 05-PM,8126.77,132,518.01,378.07,16.58,200.46,0.707110258,769
