Date,DASH/BTC,ETC/BTC,ETH/BTC,LTC/BTC,XMR/BTC,XRP/BTC
2018-04-19 01-AM,0.05083,0.00218,0.06458,0.01716,0.0278,0.000088440
2018-04-19 12-AM,0.05181,0.002165,0.06451,0.01717,0.02801,0.000087600
2018-04-18 11-PM,0.05162,0.002158,0.06421,0.01718,0.02825,0.000087790
2018-04-18 10-PM,0.05101,0.00217,0.06412,0.01721,0.02815,0.000088850
2018-04-18 09-PM,0.05039,0.00214,0.06383,0.01698,0.02791,0.000087300
2018-04-18 08-PM,0.05008,0.00215,0.0637,0.01708,0.02783,0.000086220
2018-04-18 07-PM,0.04973,0.002141,0.06353,0.01703,0.02771,0.000084950
2018-04-18 06-PM,0.04905,0.002126,0.0636,0.01699,0.02781,0.000084760
2018-04-18 05-PM,0.0486,0.002123,0.06362,0.01694,0.02765,0.000084850
2018-04-18 04-PM,0.04851,0.002101,0.06386,0.01695,0.02764,0.000084970
2018-04-18 03-PM,0.04926,0.002113,0.06373,0.01688,0.0274,0.000084970
2018-04-18 02-PM,0.0492,0.002098,0.0635,0.01691,0.02762,0.000084640
2018-04-18 01-PM,0.04882,0.002102,0.06385,0.01699,0.02773,0.000085010
2018-04-18 12-PM,0.0485,0.002118,0.0637,0.01698,0.02783,0.000085330
2018-04-18 11-AM,0.0477,0.002103,0.06355,0.017,0.02776,0.000083700
2018-04-18 10-AM,0.04759,0.002072,0.0635,0.01701,0.02812,0.000083780
2018-04-18 09-AM,0.04766,0.002054,0.06365,0.01689,0.02805,0.000083770
2018-04-18 08-AM,0.04741,0.00206,0.06353,0.01696,0.02805,0.000083440
2018-04-18 07-AM,0.04713,0.002028,0.06332,0.01698,0.02831,0.000083270
2018-04-18 06-AM,0.04731,0.002044,0.06412,0.01721,0.02771,0.000083900
2018-04-18 05-AM,0.0459,0.002036,0.06398,0.01698,0.02605,0.000084000
2018-04-18 04-AM,0.046,0.002038,0.06384,0.01695,0.02519,0.000083860
2018-04-18 03-AM,0.04617,0.002043,0.06395,0.01694,0.0251,0.000083520
2018-04-18 02-AM,0.04602,0.002036,0.06384,0.017,0.025,0.000083460
2018-04-18 01-AM,0.04611,0.002041,0.0636,0.01693,0.02491,0.000083320
2018-04-18 12-AM,0.0461,0.002038,0.06357,0.01678,0.0247,0.000083010
2018-04-17 11-PM,0.04661,0.002041,0.06376,0.01693,0.02466,0.000083310
2018-04-17 10-PM,0.04685,0.002047,0.06392,0.017,0.02462,0.000083470
2018-04-17 09-PM,0.04622,0.002036,0.0636,0.01695,0.02485,0.000083270
2018-04-17 08-PM,0.04638,0.002047,0.06385,0.01699,0.02466,0.000083430
2018-04-17 07-PM,0.04626,0.00204,0.0638,0.01702,0.02485,0.000083600
2018-04-17 06-PM,0.04648,0.002045,0.06366,0.01719,0.02471,0.000083820
2018-04-17 05-PM,0.04632,0.002034,0.06343,0.0171,0.02481,0.000083350
2018-04-17 04-PM,0.04608,0.002037,0.06349,0.01689,0.02461,0.000083410
2018-04-17 03-PM,0.04613,0.00203,0.06342,0.01691,0.02459,0.000083030
2018-04-17 02-PM,0.0463,0.002039,0.06344,0.01691,0.0246,0.000083250
2018-04-17 01-PM,0.04629,0.002044,0.06356,0.01691,0.02445,0.000083000
2018-04-17 12-PM,0.04604,0.00203,0.06371,0.0172,0.0246,0.000083250
2018-04-17 11-AM,0.04595,0.002015,0.0637,0.01675,0.02441,0.000083050
